dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_time,last_loss
aug_mnist,80,4.0,0.0,3.0,3.0,0.9624999998796876,0.6999999999125001,1265.0259380340576,21.08376563390096,12.0,0.5905759864307327
aug_mnist,80,4.0,0.0,4.0,1.0,0.6874999999140625,0.6874999999140625,1145.475412607193,19.09125687678655,23.0,0.6546971940175891
aug_mnist,80,4.0,0.0,4.0,2.0,0.974999999878125,0.974999999878125,1240.4001533985138,20.67333588997523,11.0,0.6446501850276036
aug_mnist,1280,3.0,0.0,4.0,1.0,0.6984374999945435,0.6984374999945435,25338.16743016243,422.3027905027072,14.0,0.6544871735521685
aug_mnist,80,4.0,0.0,4.0,3.0,0.8124999998984376,0.8124999998984376,1661.0410149097445,27.68401691516241,11.0,0.6198442082822379
aug_mnist,160,4.0,0.0,3.0,1.0,0.9562499999402344,0.6874999999570313,2023.8324129581447,33.730540215969086,6.0,0.6397681331234667
aug_mnist,160,4.0,0.0,3.0,2.0,0.8874999999445312,0.6062499999621094,1757.5672345161438,29.29278724193573,12.0,0.6428968846396133
aug_mnist,1280,3.0,0.0,4.0,2.0,0.9007812499929628,0.9007812499929628,24720.63483428955,412.0105805714925,14.0,0.6432450801083857
aug_mnist,1280,3.0,0.0,4.0,3.0,0.8585937499932923,0.8585937499932923,25210.07913470268,420.167985578378,14.0,0.6324498611639204
aug_mnist,160,4.0,0.0,3.0,3.0,0.9687499999394532,0.7499999999531249,2373.929907083512,39.56549845139185,6.0,0.5965397888049175
aug_mnist,160,4.0,0.0,4.0,2.0,0.9062499999433592,0.9062499999433592,2515.3971614837646,41.92328602472941,17.0,0.6478856366467858
aug_mnist,160,4.0,0.0,4.0,3.0,0.9249999999421874,0.9249999999421874,2506.300922393799,41.771682039896646,13.0,0.6278994035328387
aug_mnist,160,4.0,0.0,4.0,1.0,0.6937499999566406,0.6937499999566406,3513.709128856659,58.56181881427765,17.0,0.6635399788203376
aug_mnist,320,4.0,0.0,3.0,1.0,0.9749999999695312,0.6249999999804687,4066.045117616653,67.76741862694422,14.0,0.6388707691231398
aug_mnist,320,4.0,0.0,3.0,2.0,0.9406249999706054,0.6968749999782227,4160.598413705826,69.3433068950971,16.0,0.6384432846108241
aug_mnist,320,4.0,0.0,3.0,3.0,0.9499999999703124,0.6687499999791016,4236.961260557175,70.61602100928624,16.0,0.5945460760407618
aug_mnist,5120,2.0,0.0,3.0,1.0,0.9764056224850582,0.6897590361411157,63519.234216213226,1058.6539036035538,16.0,0.6393067431437405
aug_mnist,320,4.0,0.0,4.0,2.0,0.8468749999735351,0.8468749999735351,5005.974194526672,83.43290324211121,16.0,0.6448735421694458
aug_mnist,320,4.0,0.0,4.0,1.0,0.6968749999782227,0.6968749999782227,5659.305389881134,94.3217564980189,16.0,0.6571825027260451
aug_mnist,320,4.0,0.0,4.0,3.0,0.8687499999728515,0.8687499999728515,5404.645416498184,90.07742360830306,16.0,0.6189197397038644
aug_mnist,2560,3.0,0.0,3.0,1.0,0.9759036144529324,0.6902610441732417,33390.42557311058,556.5070928851763,16.0,0.6398722469781677
aug_mnist,5120,2.0,0.0,3.0,2.0,0.922188755015451,0.6214859437719805,64958.70332503319,1082.6450554172195,15.0,0.6341747158753407
aug_mnist,5120,1.0,0.0,4.0,1.0,0.6601405622456821,0.6601405622456821,90387.51483750343,1506.4585806250573,14.0,0.6548053771244612
aug_mnist,2560,3.0,0.0,3.0,2.0,0.9246987951760808,0.754016064253243,35000.05909991264,583.3343183318774,27.0,0.6374462217067615
aug_mnist,2560,3.0,0.0,3.0,3.0,0.9748995983886802,0.748493975899857,33653.71900558472,560.8953167597452,11.0,0.5973231691098722
aug_mnist,640,4.0,0.0,3.0,3.0,0.9687499999848632,0.6999999999890625,8137.0951273441315,135.6182521224022,7.0,0.5987247973586944
aug_mnist,640,4.0,0.0,3.0,1.0,0.9671874999848876,0.6796874999893798,9375.702127933502,156.26170213222505,22.0,0.6390280747313787
aug_mnist,640,4.0,0.0,3.0,2.0,0.9109374999857666,0.6999999999890625,10173.87735581398,169.56462259689968,22.0,0.6387361526389455
