dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss,convergence_time
nwpu,320,3.0,0.0,3.0,2.0,0.6149999999692499,0.6449999999677499,4400.616460561752,73.34360767602921,19.0,0.6876969831967025,
nwpu,1280,2.0,0.0,3.0,2.0,0.6449999999677499,0.6299999999685,14474.70121192932,241.24502019882203,60.0,0.6836053735358175,
nwpu,320,3.0,0.0,4.0,1.0,0.6299999999685,0.6299999999685,4566.461355209351,76.10768925348917,28.0,0.6890898662590217,
nwpu,2560,2.0,0.0,3.0,1.0,0.56499999997175,0.57499999997125,14080.875713825226,234.6812618970871,60.0,0.691449986769954,
nwpu,320,3.0,0.0,4.0,3.0,0.6399999999679999,0.6399999999679999,5369.29744720459,89.48829078674316,19.0,0.6854178952956583,
nwpu,5120,2.0,0.0,3.0,1.0,0.539999999973,0.5699999999715,13643.672451257706,227.3945408542951,58.0,0.6928380311272424,
nwpu,320,3.0,0.0,4.0,2.0,0.68499999996575,0.68499999996575,6041.624938964844,100.6937489827474,19.0,0.6869362348103432,
nwpu,5120,2.0,0.0,3.0,2.0,0.60499999996975,0.58499999997075,13168.233979463575,219.47056632439296,40.0,0.6908171495539002,
nwpu,640,3.0,0.0,3.0,1.0,0.5899999999705,0.58499999997075,6166.387368440628,102.7731228073438,59.0,0.6880268001448892,
nwpu,640,3.0,0.0,3.0,2.0,0.619999999969,0.6499999999675,6557.254453659058,109.28757422765096,56.0,0.6829166209591018,
nwpu,5120,2.0,0.0,3.0,3.0,0.5899999999705,0.6149999999692499,14185.010208129885,236.4168368021647,60.0,0.6896200619481158,
nwpu,640,3.0,0.0,3.0,3.0,0.59999999997,0.6099999999694999,6495.258410692215,108.25430684487024,23.0,0.6777773618592218,
nwpu,1280,2.0,0.0,4.0,1.0,0.679999999966,0.679999999966,17596.626523256302,293.2771087209384,60.0,0.6855056149902439,
nwpu,1280,2.0,0.0,4.0,2.0,0.68499999996575,0.68499999996575,19847.02799248696,330.7837998747826,60.0,0.6826673521938655,
nwpu,2560,2.0,0.0,4.0,3.0,0.6149999999692499,0.6149999999692499,18956.845799684525,315.9474299947421,59.0,0.6828784550768849,
nwpu,1280,2.0,0.0,4.0,3.0,0.65499999996725,0.65499999996725,20576.39380121231,342.93989668687186,58.0,0.6769191630624947,
nwpu,2560,2.0,0.0,3.0,3.0,0.59499999997025,0.59499999997025,19493.64184999466,324.8940308332443,58.0,0.6842861521981755,
nwpu,20,4.0,0.0,3.0,1.0,0.549999999725,0.5999999997,362.5103480815888,6.041839134693146,16.0,0.6841224744475582,
nwpu,20,4.0,0.0,3.0,2.0,0.549999999725,0.549999999725,391.3569550514221,6.522615917523702,16.0,0.6778405853696979,
nwpu,20,4.0,0.0,3.0,3.0,0.49999999975,0.49999999975,382.90479803085327,6.381746633847555,16.0,0.6693060090771588,
nwpu,640,3.0,0.0,4.0,2.0,0.6699999999665,0.6699999999665,9734.002612113953,162.23337686856587,56.0,0.6847337490213217,
nwpu,20,4.0,0.0,4.0,2.0,0.649999999675,0.649999999675,292.7163510322571,4.878605850537618,16.0,0.6807314070635802,
nwpu,640,3.0,0.0,4.0,1.0,0.58499999997075,0.58499999997075,10264.88655591011,171.08144259850184,59.0,0.6875031548631056,
nwpu,5120,2.0,0.0,4.0,1.0,0.5799999999709999,0.5799999999709999,19145.70754146576,319.095125691096,58.0,0.692473278993558,
nwpu,20,4.0,0.0,4.0,1.0,0.5999999997,0.5999999997,522.6858472824097,8.711430788040161,16.0,0.6900796243078228,
nwpu,20,4.0,0.0,4.0,3.0,0.49999999975,0.49999999975,288.7046961784363,4.811744936307272,16.0,0.6815845766235862,
nwpu,640,3.0,0.0,4.0,3.0,0.6449999999677499,0.6449999999677499,10446.604835987093,174.11008059978485,58.0,0.6823065328491413,
nwpu,40,4.0,0.0,3.0,1.0,0.52499999986875,0.52499999986875,505.5568914413452,8.425948190689088,17.0,0.6884168939061505,
nwpu,40,4.0,0.0,3.0,2.0,0.59999999985,0.5499999998625,477.9941129684448,7.96656854947408,17.0,0.6822632120334136,
nwpu,5120,2.0,0.0,4.0,2.0,0.54499999997275,0.54499999997275,19379.308802604675,322.98848004341124,39.0,0.6903780662955927,
nwpu,40,4.0,0.0,4.0,1.0,0.59999999985,0.59999999985,526.6913192272186,8.778188653786977,17.0,0.6935319415981243,
nwpu,40,4.0,0.0,3.0,3.0,0.52499999986875,0.499999999875,780.5781302452087,13.009635504086813,35.0,0.6675991211652688,
nwpu,40,4.0,0.0,4.0,2.0,0.62499999984375,0.62499999984375,586.1897616386414,9.769829360644025,43.0,0.6815838013375538,
nwpu,40,4.0,0.0,4.0,3.0,0.62499999984375,0.62499999984375,715.1432414054871,11.919054023424785,7.0,0.679629596301879,
nwpu,80,4.0,0.0,3.0,1.0,0.5874999999265625,0.574999999928125,968.9430134296416,16.149050223827363,11.0,0.6916242556899524,
nwpu,80,4.0,0.0,3.0,3.0,0.5874999999265625,0.5624999999296876,771.1393396854401,12.852322328090668,11.0,0.6768868683922569,
nwpu,80,4.0,0.0,3.0,2.0,0.64999999991875,0.64999999991875,1071.286073923111,17.854767898718517,5.0,0.6868014859294697,
nwpu,80,4.0,0.0,4.0,2.0,0.7499999999062501,0.7499999999062501,1187.5768222808838,19.79294703801473,11.0,0.6846427570917727,
nwpu,80,4.0,0.0,4.0,3.0,0.7374999999078126,0.7374999999078126,1408.0661602020264,23.46776933670044,5.0,0.6853996407128938,
nwpu,80,4.0,0.0,4.0,1.0,0.5874999999265625,0.5874999999265625,2016.9841701984408,33.616402836640674,18.0,0.6936630677309801,
nwpu,2560,2.0,0.0,4.0,2.0,0.59999999997,0.59999999997,23821.32399868965,397.02206664482753,59.0,0.6888064436060409,
nwpu,160,4.0,0.0,3.0,2.0,0.6812499999574219,0.6624999999585938,1585.4142925739288,26.423571542898813,28.0,0.6839079588224214,
nwpu,160,4.0,0.0,3.0,1.0,0.5437499999660156,0.5937499999628906,1882.2284989357,31.37047498226166,28.0,0.6896828972862252,
nwpu,160,4.0,0.0,3.0,3.0,0.5374999999664062,0.6562499999589844,2273.021756887436,37.88369594812393,16.0,0.6766843604618575,
nwpu,160,4.0,0.0,4.0,1.0,0.5874999999632812,0.5874999999632812,2254.654308080673,37.57757180134456,22.0,0.6927395170494085,
nwpu,1280,3.0,0.0,3.0,2.0,0.65499999996725,0.679999999966,14041.259941101074,234.02099901835123,50.0,0.6848686305624793,
nwpu,2560,3.0,0.0,3.0,1.0,0.5499999999724999,0.58499999997075,12065.007938146591,201.0834656357765,60.0,0.6900076730193812,
nwpu,1280,3.0,0.0,3.0,1.0,0.6299999999685,0.63499999996825,14416.099483251572,240.2683247208596,60.0,0.6852470314445613,
nwpu,1280,3.0,0.0,3.0,3.0,0.62499999996875,0.6449999999677499,14664.672926664352,244.41121544440588,34.0,0.6805461304131064,
nwpu,160,4.0,0.0,4.0,2.0,0.7124999999554688,0.7124999999554688,2622.686180591584,43.71143634319306,28.0,0.6854504566956312,
nwpu,320,4.0,0.0,3.0,1.0,0.55499999997225,0.60499999996975,3307.844811916352,55.13074686527252,19.0,0.6872202342533886,
nwpu,320,4.0,0.0,3.0,2.0,0.659999999967,0.66499999996675,3341.1536858081818,55.6858947634697,34.0,0.6832699632431131,
nwpu,2560,3.0,0.0,3.0,2.0,0.559999999972,0.5699999999715,13755.167600154877,229.25279333591465,59.0,0.6892402290445748,
nwpu,5120,3.0,0.0,3.0,2.0,0.52499999997375,0.53499999997325,12301.09120941162,205.01818682352703,60.0,0.6924655972264124,
nwpu,2560,2.0,0.0,4.0,1.0,0.52499999997375,0.52499999997375,28036.77520942688,467.27958682378136,60.0,0.6915129684549564,
nwpu,5120,2.0,0.0,4.0,3.0,0.6099999999694999,0.6099999999694999,25355.51480126381,422.5919133543968,60.0,0.6875301171086556,
nwpu,160,4.0,0.0,4.0,3.0,0.6562499999589844,0.6562499999589844,4513.291460752487,75.22152434587478,30.0,0.6843820237685665,
nwpu,320,4.0,0.0,3.0,3.0,0.62499999996875,0.6499999999675,4442.486607551575,74.0414434591929,40.0,0.6794288170125354,
nwpu,5120,3.0,0.0,3.0,1.0,0.52499999997375,0.56499999997175,13546.825811862946,225.78043019771576,58.0,0.692419161631854,
nwpu,320,4.0,0.0,4.0,2.0,0.679999999966,0.679999999966,4825.030348062515,80.41717246770858,34.0,0.6829788601185036,
nwpu,2560,3.0,0.0,4.0,1.0,0.57499999997125,0.57499999997125,16795.777331352234,279.9296221892039,60.0,0.6909792824528651,
nwpu,320,4.0,0.0,4.0,1.0,0.58499999997075,0.58499999997075,6395.521755695343,106.59202926158903,19.0,0.69059240577447,
nwpu,320,4.0,0.0,4.0,3.0,0.66499999996675,0.66499999996675,5882.228013277054,98.03713355461755,49.0,0.6807138985182709,
nwpu,2560,3.0,0.0,3.0,3.0,0.60499999996975,0.6299999999685,17652.30732178688,294.20512202978136,59.0,0.6840328145764887,
nwpu,1280,3.0,0.0,4.0,1.0,0.6449999999677499,0.6449999999677499,20246.039920330048,337.43399867216743,50.0,0.6870414804560311,
nwpu,640,4.0,0.0,3.0,1.0,0.56499999997175,0.559999999972,6562.302651405335,109.37171085675556,16.0,0.6882500117909658,
nwpu,2560,3.0,0.0,4.0,2.0,0.6149999999692499,0.6149999999692499,17723.638423919678,295.3939737319946,59.0,0.6900659163735423,
nwpu,1280,3.0,0.0,4.0,2.0,0.69499999996525,0.69499999996525,19988.340571165085,333.1390095194181,50.0,0.6843957591794521,
nwpu,640,4.0,0.0,3.0,2.0,0.6449999999677499,0.6699999999665,7702.556738853455,128.3759456475576,49.0,0.6818769431007653,
nwpu,640,4.0,0.0,3.0,3.0,0.60499999996975,0.63499999996825,8791.63841342926,146.5273068904877,23.0,0.6777473819149931,
nwpu,5120,3.0,0.0,3.0,3.0,0.65499999996725,0.6449999999677499,19709.495646715164,328.4915941119194,60.0,0.6865983134053553,
nwpu,20,5.0,0.0,3.0,1.0,0.549999999725,0.49999999975,285.04503321647644,4.750750553607941,16.0,0.6776105811784141,
nwpu,640,4.0,0.0,4.0,1.0,0.559999999972,0.559999999972,10025.758244514464,167.09597074190776,16.0,0.6878162276637372,
nwpu,20,5.0,0.0,3.0,2.0,0.49999999975,0.5999999997,289.12405157089233,4.818734192848206,16.0,0.6762175163225816,
nwpu,20,5.0,0.0,3.0,3.0,0.49999999975,0.649999999675,245.5073566436768,4.0917892773946125,16.0,0.668342504763218,
nwpu,20,5.0,0.0,4.0,1.0,0.749999999625,0.749999999625,315.48207354545593,5.258034559090932,16.0,0.6958015205957409,
nwpu,20,5.0,0.0,4.0,2.0,0.649999999675,0.649999999675,325.6228823661804,5.4270480394363405,16.0,0.681186134474623,
nwpu,640,4.0,0.0,4.0,2.0,0.659999999967,0.659999999967,9708.050161600111,161.80083602666855,38.0,0.6819197410238529,
