dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
eurosat,320,2,0,3,2,0.5531249999827148,0.5499999999828125,2908.390013694763,48.47316689491272
eurosat,320,2,0,3,2,0.5531249999827148,0.5499999999828125,2908.390013694763,48.47316689491272
eurosat,320,2,0,3,3,0.5031249999842773,0.4937499999845703,3066.0281457901,51.10046909650167
eurosat,320,2,0,3,3,0.5031249999842773,0.4937499999845703,3066.0281457901,51.10046909650167
eurosat,320,2,0,4,1,0.4499999999859375,0.4499999999859375,3777.553735971451,62.95922893285751
eurosat,320,2,0,4,1,0.4499999999859375,0.4499999999859375,3777.553735971451,62.95922893285751
eurosat,320,2,0,4,2,0.4499999999859375,0.4499999999859375,5927.511768341064,98.7918628056844
eurosat,320,2,0,4,2,0.4499999999859375,0.4499999999859375,5927.511768341064,98.7918628056844
eurosat,320,2,0,4,3,0.4499999999859375,0.4499999999859375,6245.132572174072,104.08554286956787
eurosat,320,2,0,4,3,0.4499999999859375,0.4499999999859375,6245.132572174072,104.08554286956787
eurosat,320,3,0,3,1,0.4718749999852539,0.4656249999854492,6097.6423881053925,101.62737313508987
eurosat,320,3,0,3,1,0.4718749999852539,0.4656249999854492,6097.6423881053925,101.62737313508987
eurosat,320,3,0,3,2,0.5499999999828125,0.5499999999828125,7069.572070360184,117.82620117266973
eurosat,320,3,0,3,2,0.5499999999828125,0.5499999999828125,7069.572070360184,117.82620117266973
eurosat,320,3,0,3,3,0.5593749999825195,0.5343749999833007,7133.910531282425,118.89850885470709
eurosat,320,3,0,3,3,0.5593749999825195,0.5343749999833007,7133.910531282425,118.89850885470709
eurosat,320,3,0,4,1,0.4874999999847656,0.4874999999847656,9012.789986133575,150.2131664355596
eurosat,320,3,0,4,1,0.4874999999847656,0.4874999999847656,9012.789986133575,150.2131664355596
eurosat,320,3,0,4,2,0.5499999999828125,0.5499999999828125,10813.370043992996,180.22283406654995
eurosat,320,3,0,4,2,0.5499999999828125,0.5499999999828125,10813.370043992996,180.22283406654995
eurosat,320,3,0,4,3,0.4499999999859375,0.4499999999859375,10867.127679109573,181.11879465182622
eurosat,320,3,0,4,3,0.4499999999859375,0.4499999999859375,10867.127679109573,181.11879465182622
eurosat,320,4,0,3,1,0.509374999984082,0.4937499999845703,6157.16924738884,102.61948745648066
eurosat,320,4,0,3,1,0.509374999984082,0.4937499999845703,6157.16924738884,102.61948745648066
eurosat,320,4,0,3,2,0.5406249999831054,0.5406249999831054,6330.589337587357,105.50982229312261
eurosat,320,4,0,3,2,0.5406249999831054,0.5406249999831054,6330.589337587357,105.50982229312261
eurosat,320,4,0,3,3,0.6656249999791992,0.6468749999797851,6686.345738649368,111.43909564415614
eurosat,320,4,0,3,3,0.6656249999791992,0.6468749999797851,6686.345738649368,111.43909564415614
eurosat,40,1,0,3,1,0.499999999875,0.499999999875,397.62358927726746,6.627059821287791
eurosat,40,1,0,3,1,0.499999999875,0.499999999875,397.62358927726746,6.627059821287791
eurosat,40,1,0,3,2,0.499999999875,0.499999999875,462.8092932701111,7.713488221168518
eurosat,40,1,0,3,2,0.499999999875,0.499999999875,462.8092932701111,7.713488221168518
eurosat,40,1,0,3,3,0.499999999875,0.499999999875,466.9251527786255,7.782085879643758
eurosat,40,1,0,3,3,0.499999999875,0.499999999875,466.9251527786255,7.782085879643758
eurosat,40,1,0,4,1,0.499999999875,0.499999999875,476.79226183891296,7.946537697315216
eurosat,40,1,0,4,1,0.499999999875,0.499999999875,476.79226183891296,7.946537697315216
eurosat,40,1,0,4,2,0.499999999875,0.499999999875,626.2601461410522,10.43766910235087
eurosat,40,1,0,4,2,0.499999999875,0.499999999875,626.2601461410522,10.43766910235087
eurosat,40,1,0,4,3,0.499999999875,0.499999999875,547.0271379947662,9.117118966579437
eurosat,40,1,0,4,3,0.499999999875,0.499999999875,547.0271379947662,9.117118966579437
eurosat,40,2,0,3,1,0.499999999875,0.499999999875,400.9012734889984,6.681687891483307
eurosat,40,2,0,3,1,0.499999999875,0.499999999875,400.9012734889984,6.681687891483307
eurosat,40,2,0,3,2,0.499999999875,0.499999999875,383.94157552719116,6.399026258786519
eurosat,40,2,0,3,2,0.499999999875,0.499999999875,383.94157552719116,6.399026258786519
eurosat,40,2,0,3,3,0.499999999875,0.499999999875,363.76199293136597,6.062699882189433
eurosat,40,2,0,3,3,0.499999999875,0.499999999875,363.76199293136597,6.062699882189433
eurosat,40,2,0,4,1,0.499999999875,0.499999999875,501.14573311805725,8.352428885300954
eurosat,40,2,0,4,1,0.499999999875,0.499999999875,501.14573311805725,8.352428885300954
eurosat,40,2,0,4,2,0.499999999875,0.499999999875,531.2366616725922,8.85394436120987
eurosat,40,2,0,4,2,0.499999999875,0.499999999875,531.2366616725922,8.85394436120987
eurosat,40,2,0,4,3,0.499999999875,0.499999999875,544.7549088001251,9.079248480002086
