dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,320,6,0.02,4,2,0.8718749999727539,0.8718749999727539,77740.973934412,1295.6828989068667,24
mnist,320,6,0.025,4,2,0.8718749999727539,0.8718749999727539,73991.04214930534,1233.1840358217557,24
mnist,320,6,0.03,4,2,0.8749999999726562,0.8749999999726562,77834.86527252197,1297.247754542033,24
mnist,320,6,0.035,4,2,0.8781249999725586,0.8781249999725586,78440.74285840988,1307.3457143068313,24
mnist,320,6,0.04,4,2,0.8749999999726562,0.8749999999726562,78160.92062616348,1302.6820104360581,19
mnist,320,6,0.045,4,2,0.8781249999725586,0.8781249999725586,79254.93066573143,1320.915511095524,16
mnist,320,6,0.05,4,2,0.8749999999726562,0.8749999999726562,78732.98985671997,1312.2164976119996,16
mnist,320,7,0,4,2,0.7749999999757813,0.7749999999757813,4233.757861375809,70.56263102293015,37
mnist,320,7,0.001,4,2,0.7437499999767578,0.7437499999767578,64974.06267929077,1082.9010446548461,19
mnist,320,7,0.005,4,2,0.899999999971875,0.899999999971875,67102.84445405006,1118.3807409008343,19
mnist,320,7,0.01,4,2,0.899999999971875,0.899999999971875,68661.6446325779,1144.3607438762983,19
mnist,320,7,0.015,4,2,0.9031249999717773,0.9031249999717773,68018.04999685287,1133.6341666142146,19
mnist,320,7,0.02,4,2,0.9031249999717773,0.9031249999717773,68694.33629274368,1144.9056048790615,19
mnist,320,7,0.025,4,2,0.8718749999727539,0.8718749999727539,70828.62255239487,1180.4770425399145,19
mnist,320,7,0.03,4,2,0.8749999999726562,0.8749999999726562,67510.28619241714,1125.1714365402856,19
mnist,320,7,0.035,4,2,0.8781249999725586,0.8781249999725586,68562.84779930115,1142.7141299883524,19
mnist,320,7,0.04,4,2,0.8749999999726562,0.8749999999726562,68462.88137578964,1141.0480229298273,19
mnist,320,7,0.045,4,2,0.8781249999725586,0.8781249999725586,70222.6259868145,1170.3770997802417,16
mnist,320,7,0.05,4,2,0.8749999999726562,0.8749999999726562,68618.61982250214,1143.6436637083689,16
mnist,320,8,0,4,2,0.899999999971875,0.899999999971875,3358.1142868995667,55.96857144832611,24
mnist,320,8,0.001,4,2,0.899999999971875,0.899999999971875,65042.775282382965,1084.0462547063828,24
mnist,320,8,0.005,4,2,0.899999999971875,0.899999999971875,61652.943331718445,1027.5490555286408,24
mnist,320,8,0.015,4,2,0.9031249999717773,0.9031249999717773,68064.39529752731,1134.4065882921218,37
mnist,320,8,0.01,4,2,0.9031249999717773,0.9031249999717773,69209.5280456543,1153.4921340942383,24
mnist,320,8,0.02,4,2,0.8656249999729492,0.8656249999729492,69474.26190185547,1157.9043650309245,37
mnist,320,8,0.025,4,2,0.8874999999722656,0.8874999999722656,68726.46007847786,1145.4410013079644,24
mnist,320,8,0.04,4,2,0.8749999999726562,0.8749999999726562,69164.70825457573,1152.745137576262,19
mnist,320,8,0.035,4,2,0.8781249999725586,0.8781249999725586,70478.21203684807,1174.6368672808012,19
mnist,320,8,0.03,4,2,0.8937499999720703,0.8937499999720703,70558.34335660934,1175.9723892768225,24
mnist,320,8,0.045,4,2,0.8781249999725586,0.8781249999725586,69913.44178533554,1165.2240297555923,19
