dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss
mnist,1280.0,2.0,0.0,4.0,2.0,0.905468749992926,0.905468749992926,21110.91173052788,351.8485288421313,12.0,0.623499516243832
mnist,80.0,3.0,0.0,4.0,3.0,0.874999999890625,0.874999999890625,1354.8384611606598,22.58064101934433,33.0,0.6101879357528892
mnist,160.0,3.0,0.0,3.0,1.0,0.9624999999398436,0.6687499999582031,2474.7698254585266,41.24616375764211,32.0,0.5951082688198079
mnist,160.0,3.0,0.0,3.0,3.0,0.9812499999386718,0.7312499999542968,2014.5419232845304,33.57569872140884,17.0,0.5291380926635956
mnist,160.0,3.0,0.0,3.0,2.0,0.8624999999460937,0.6374999999601563,2183.0065038204198,36.38344173034032,21.0,0.6073362409688927
mnist,1280.0,2.0,0.0,4.0,3.0,0.9070312499929138,0.9070312499929138,23027.546883821487,383.7924480636914,29.0,0.5947980737639689
mnist,160.0,3.0,0.0,4.0,2.0,0.9062499999433592,0.9062499999433592,2611.688057422638,43.5281342903773,21.0,0.6278778355921282
mnist,2560.0,1.0,0.0,4.0,3.0,0.8830321285096234,0.8830321285096234,40043.34497857094,667.3890829761823,26.0,0.5923328471160639
mnist,160.0,3.0,0.0,4.0,1.0,0.6124999999617187,0.6124999999617187,3328.9092688560486,55.48182114760081,21.0,0.6476301621985978
mnist,160.0,3.0,0.0,4.0,3.0,0.9124999999429688,0.9124999999429688,2776.4187109470367,46.273645182450615,56.0,0.5937358975039376
mnist,2560.0,1.0,0.0,4.0,1.0,0.5983935742941848,0.5983935742941848,42116.833285331726,701.9472214221954,16.0,0.6391570526336499
mnist,320.0,3.0,0.0,3.0,2.0,0.7593749999762696,0.5124999999839843,3411.132987976074,56.85221646626791,9.0,0.6110092282104286
mnist,320.0,3.0,0.0,3.0,1.0,0.9656249999698242,0.6312499999802734,3509.2380459308624,58.48730076551438,24.0,0.5951222228817932
mnist,320.0,3.0,0.0,3.0,3.0,0.9781249999694336,0.6406249999799805,3410.376719236374,56.839611987272896,12.0,0.5128861781794488
mnist,2560.0,2.0,0.0,3.0,1.0,0.9618473895534044,0.6772088353379658,25712.621046066284,428.5436841011048,13.0,0.5982756173587318
mnist,320.0,3.0,0.0,4.0,2.0,0.8687499999728515,0.8687499999728515,4482.6604180336,74.71100696722667,24.0,0.6253974395794935
mnist,320.0,3.0,0.0,4.0,1.0,0.6124999999808594,0.6124999999808594,4925.557524442673,82.09262540737788,19.0,0.6436553793944442
mnist,2560.0,1.0,0.0,4.0,2.0,0.8920682730878913,0.8920682730878913,45622.311021089554,760.3718503514925,16.0,0.6231319761251904
mnist,320.0,3.0,0.0,4.0,3.0,0.8218749999743163,0.8218749999743163,5487.051848649979,91.45086414416632,47.0,0.608544128518161
mnist,640.0,3.0,0.0,3.0,2.0,0.7671874999880127,0.5578124999912841,7081.878098726273,118.03130164543788,23.0,0.6128760760926806
mnist,640.0,3.0,0.0,3.0,1.0,0.9484374999851808,0.6624999999896485,8606.51240849495,143.4418734749158,12.0,0.5961958360578843
mnist,2560.0,2.0,0.0,3.0,2.0,0.9011044176661592,0.6997991967836356,30056.843030691147,500.9473838448524,41.0,0.6015174585557329
mnist,640.0,3.0,0.0,3.0,3.0,0.9593749999850096,0.6703124999895264,8982.92965054512,149.715494175752,14.0,0.5125781246939678
mnist,640.0,3.0,0.0,4.0,1.0,0.5968749999906738,0.5968749999906738,10385.59818315506,173.09330305258433,18.0,0.6411343914170223
mnist,2560.0,2.0,0.0,3.0,3.0,0.9623493975855304,0.665662650599068,33539.85079884529,558.9975133140882,16.0,0.5101352900246721
mnist,640.0,3.0,0.0,4.0,3.0,0.8203124999871826,0.8203124999871826,11623.22669696808,193.720444949468,31.0,0.5925805103686248
mnist,640.0,3.0,0.0,4.0,2.0,0.8765624999863036,0.8765624999863036,12545.94534254074,209.0990890423457,27.0,0.6250114887855147
mnist,1280.0,3.0,0.0,3.0,1.0,0.96640624999245,0.6562499999948731,12280.619005441666,204.67698342402772,21.0,0.5978191256476428
mnist,1280.0,3.0,0.0,3.0,2.0,0.6718749999947511,0.5203124999959351,13220.598162412643,220.34330270687735,12.0,0.6159689557504215
mnist,2560.0,2.0,0.0,4.0,1.0,0.5983935742941848,0.5983935742941848,37111.50663518906,618.5251105864843,16.0,0.6391569334243603
mnist,1280.0,3.0,0.0,3.0,3.0,0.9843749999923096,0.6695312499947693,13146.131957054138,219.10219928423564,11.0,0.5148047265370204
mnist,1280.0,3.0,0.0,4.0,1.0,0.6007812499953065,0.6007812499953065,18569.35262966156,309.4892104943593,15.0,0.638452156181116
mnist,5120.0,1.0,0.0,3.0,3.0,0.9568273092321444,0.663152610438438,67605.21691346169,1126.7536152243615,15.0,0.5093863657106941
mnist,5120.0,1.0,0.0,3.0,1.0,0.9457831325253726,0.6752008032094619,68899.08474183083,1148.3180790305137,17.0,0.5974596565950169
mnist,20.0,4.0,0.0,3.0,1.0,0.7999999996,0.549999999725,320.60804629325867,5.343467438220978,13.0,0.6103359749841768
mnist,20.0,4.0,0.0,3.0,2.0,0.8499999995749999,0.49999999975,273.4537193775177,4.557561989625295,13.0,0.6198656776428336
mnist,20.0,4.0,0.0,3.0,3.0,0.8499999995749999,0.49999999975,274.0658805370331,4.567764675617218,13.0,0.5204672295233013
mnist,20.0,4.0,0.0,4.0,1.0,0.449999999775,0.449999999775,334.2060294151306,5.570100490252177,47.0,0.6625882157350663
mnist,20.0,4.0,0.0,4.0,2.0,0.649999999675,0.649999999675,402.716894865036,6.7119482477506,13.0,0.6672679808379739
mnist,1280.0,3.0,0.0,4.0,2.0,0.905468749992926,0.905468749992926,21467.71841621399,357.7953069368998,18.0,0.6235055750559733
mnist,20.0,4.0,0.0,4.0,3.0,0.749999999625,0.749999999625,583.0253295898438,9.717088826497395,32.0,0.5980572995533425
mnist,40.0,4.0,0.0,3.0,1.0,0.92499999976875,0.6499999998375,548.6169624328613,9.14361604054769,13.0,0.5959164522588578
mnist,40.0,4.0,0.0,3.0,3.0,0.99999999975,0.72499999981875,554.049263715744,9.2341543952624,23.0,0.5177106593745091
mnist,40.0,4.0,0.0,3.0,2.0,0.59999999985,0.62499999984375,792.1226153373718,13.202043588956196,13.0,0.6144064055337306
mnist,40.0,4.0,0.0,4.0,1.0,0.6999999998249999,0.6999999998249999,757.1981844902039,12.619969741503398,53.0,0.6622437445653885
mnist,40.0,4.0,0.0,4.0,2.0,0.8499999997875,0.8499999997875,730.6044571399689,12.176740952332814,13.0,0.6660443465236667
mnist,40.0,4.0,0.0,4.0,3.0,0.9499999997625,0.9499999997625,972.164776802063,16.202746280034383,31.0,0.6150586204183255
mnist,80.0,4.0,0.0,3.0,1.0,0.94999999988125,0.7374999999078126,1300.272404909134,21.671206748485567,8.0,0.5914083193993406
mnist,1280.0,3.0,0.0,4.0,3.0,0.8320312499934999,0.8320312499934999,24103.82092356682,401.7303487261136,29.0,0.6096943986368231
mnist,5120.0,1.0,0.0,3.0,2.0,0.9558232931678924,0.6089357429688307,74545.24586486816,1242.4207644144694,17.0,0.5867508763063415
mnist,80.0,4.0,0.0,3.0,2.0,0.5999999999250001,0.54999999993125,1061.5959737300873,17.693266228834787,17.0,0.6137482570834683
mnist,2560.0,2.0,0.0,4.0,2.0,0.8925702811200172,0.8925702811200172,52811.4173309803,880.1902888496717,16.0,0.6231371611332394
mnist,80.0,4.0,0.0,3.0,3.0,0.974999999878125,0.7499999999062501,1186.2148718833923,19.770247864723206,8.0,0.5219331159535304
mnist,80.0,4.0,0.0,4.0,1.0,0.6124999999234375,0.6124999999234375,1236.2829225063324,20.60471537510554,35.0,0.6469692110206609
mnist,80.0,4.0,0.0,4.0,3.0,0.7874999999015626,0.7874999999015626,1453.1487829685211,24.219146382808685,37.0,0.5986390762772897
mnist,80.0,4.0,0.0,4.0,2.0,0.9374999998828126,0.9374999998828126,1646.9171175956726,27.448618626594545,17.0,0.6339850478571913
mnist,160.0,4.0,0.0,3.0,1.0,0.9624999999398436,0.6687499999582031,1984.0909066200256,33.068181777000426,32.0,0.595108697377204
mnist,160.0,4.0,0.0,3.0,3.0,0.9874999999382812,0.7062499999558594,2157.7814242839813,35.963023738066354,17.0,0.5101372807899166
mnist,160.0,4.0,0.0,3.0,2.0,0.8624999999460937,0.6374999999601563,2681.682316303253,44.694705271720885,21.0,0.6073380940772987
mnist,160.0,4.0,0.0,4.0,3.0,0.9124999999429688,0.9124999999429688,2675.9952523708344,44.59992087284724,21.0,0.5937321328745738
mnist,160.0,4.0,0.0,4.0,1.0,0.6124999999617187,0.6124999999617187,3522.3169734478,58.70528289079666,31.0,0.647680389840654
mnist,160.0,4.0,0.0,4.0,2.0,0.8874999999445312,0.8874999999445312,3760.0377674102783,62.66729612350464,21.0,0.6320864170394663
mnist,2560.0,3.0,0.0,3.0,2.0,0.7374497991930852,0.5542168674670973,29870.272183656693,497.8378697276115,16.0,0.6144976395344572
mnist,2560.0,2.0,0.0,4.0,3.0,0.8930722891521432,0.8930722891521432,57253.4702835083,954.2245047251384,26.0,0.5949540925002699
mnist,320.0,4.0,0.0,3.0,1.0,0.9656249999698242,0.6312499999802734,3988.53622841835,66.4756038069725,24.0,0.5951222485117903
mnist,320.0,4.0,0.0,3.0,2.0,0.8968749999719726,0.6374999999800781,4487.396807193756,74.7899467865626,19.0,0.6032021367361395
mnist,2560.0,3.0,0.0,3.0,1.0,0.9618473895534044,0.6772088353379658,33411.60329389572,556.860054898262,21.0,0.5982763791060919
mnist,320.0,4.0,0.0,3.0,3.0,0.9781249999694336,0.6437499999798828,4141.306802988052,69.02178004980087,24.0,0.5098415112336095
mnist,320.0,4.0,0.0,4.0,1.0,0.6124999999808594,0.6124999999808594,6314.829798460007,105.24716330766678,19.0,0.6436512422360504
mnist,2560.0,3.0,0.0,3.0,3.0,0.9703815260995464,0.657128514052926,33523.85518217087,558.7309197028478,26.0,0.5107870152572707
mnist,320.0,4.0,0.0,4.0,3.0,0.8468749999735351,0.8468749999735351,6185.657161712647,103.0942860285441,32.0,0.5910586374813388
mnist,320.0,4.0,0.0,4.0,2.0,0.8687499999728515,0.8687499999728515,7628.310349941254,127.13850583235424,19.0,0.625400302390582
mnist,640.0,4.0,0.0,3.0,2.0,0.7687499999879883,0.5578124999912841,8061.956285238266,134.36593808730444,9.0,0.6128900670909485
mnist,640.0,4.0,0.0,3.0,1.0,0.9484374999851808,0.6624999999896485,10178.06316280365,169.63438604672749,23.0,0.5961996310856169
mnist,640.0,4.0,0.0,3.0,3.0,0.9593749999850096,0.6484374999898681,9771.990821361542,162.86651368935904,28.0,0.5178147929825937
