dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,2560,2,0,4,1,0.5983935742941848,0.5983935742941848,37111.50663518906,618.5251105864843,16
mnist,1280,3,0,3,3,0.9843749999923097,0.6695312499947693,13146.131957054138,219.10219928423564,11
mnist,1280,3,0,4,1,0.6007812499953065,0.6007812499953065,18569.35262966156,309.4892104943593,15
mnist,5120,1,0,3,3,0.9568273092321445,0.663152610438438,67605.21691346169,1126.7536152243615,15
mnist,5120,1,0,3,1,0.9457831325253726,0.6752008032094619,68899.08474183083,1148.3180790305137,17
mnist,20,4,0,3,1,0.7999999996,0.549999999725,320.60804629325867,5.343467438220978,13
mnist,20,4,0,3,2,0.8499999995749999,0.49999999975,273.4537193775177,4.557561989625295,13
mnist,20,4,0,3,3,0.8499999995749999,0.49999999975,274.0658805370331,4.567764675617218,13
mnist,20,4,0,4,1,0.449999999775,0.449999999775,334.2060294151306,5.570100490252177,47
mnist,20,4,0,4,2,0.649999999675,0.649999999675,402.716894865036,6.7119482477506,13
mnist,1280,3,0,4,2,0.9054687499929261,0.9054687499929261,21467.71841621399,357.7953069368998,18
mnist,20,4,0,4,3,0.749999999625,0.749999999625,583.0253295898438,9.717088826497395,32
mnist,40,4,0,3,1,0.92499999976875,0.6499999998375,548.6169624328613,9.14361604054769,13
mnist,40,4,0,3,3,0.99999999975,0.72499999981875,554.049263715744,9.2341543952624,23
mnist,40,4,0,3,2,0.59999999985,0.62499999984375,792.1226153373718,13.202043588956197,13
mnist,40,4,0,4,1,0.6999999998249999,0.6999999998249999,757.1981844902039,12.619969741503398,53
mnist,40,4,0,4,2,0.8499999997875,0.8499999997875,730.6044571399689,12.176740952332814,13
mnist,40,4,0,4,3,0.9499999997624999,0.9499999997624999,972.164776802063,16.202746280034383,31
mnist,80,4,0,3,1,0.9499999998812501,0.7374999999078126,1300.272404909134,21.671206748485567,8
mnist,1280,3,0,4,3,0.8320312499934999,0.8320312499934999,24103.82092356682,401.7303487261136,29
mnist,5120,1,0,3,2,0.9558232931678925,0.6089357429688307,74545.24586486816,1242.4207644144694,17
mnist,80,4,0,3,2,0.5999999999250001,0.54999999993125,1061.5959737300873,17.693266228834787,17
mnist,2560,2,0,4,2,0.8925702811200172,0.8925702811200172,52811.4173309803,880.1902888496717,16
