N,seed,non_equivariance,p_err,max_val_acc,max_epoch
20,101,4,0.09,0.89999999955,39
20,101,4,0.1,0.8499999995749999,39
40,101,4,0.01,0.92499999976875,10
40,101,4,0.02,0.92499999976875,9
40,101,4,0.03,0.92499999976875,9
40,101,4,0.04,0.92499999976875,9
40,101,4,0.05,0.92499999976875,8
40,101,4,0.06,0.92499999976875,8
40,101,4,0.07,0.92499999976875,29
40,101,4,0.08,0.92499999976875,10
40,101,4,0.09,0.92499999976875,10
40,101,4,0.1,0.899999999775,7
80,101,4,0.01,0.8874999998890626,18
80,101,4,0.02,0.8874999998890626,16
80,101,4,0.03,0.8874999998890626,13
80,101,4,0.04,0.8874999998890626,24
80,101,4,0.05,0.8874999998890626,9
80,101,4,0.06,0.8874999998890626,9
80,101,4,0.07,0.8874999998890626,9
80,101,4,0.08,0.8874999998890626,10
80,101,4,0.09,0.8874999998890626,23
80,101,4,0.1,0.8874999998890626,20
320,101,4,0.01,0.8437499999736328,4
320,101,4,0.02,0.8499999999734374,4
320,101,4,0.03,0.8406249999737304,4
320,101,4,0.04,0.8531249999733398,4
320,101,4,0.05,0.8437499999736328,4
320,101,4,0.06,0.7718749999758789,4
320,101,4,0.07,0.7718749999758789,5
320,101,4,0.08,0.8062499999748046,6
320,101,4,0.09,0.8437499999736328,11
320,101,4,0.1,0.8656249999729492,6
40,104,0,0.0,0.72499999981875,6
40,104,0,0.01,0.72499999981875,4
40,104,0,0.02,0.72499999981875,3
40,104,0,0.03,0.72499999981875,2
40,104,0,0.04,0.72499999981875,2
40,104,0,0.05,0.72499999981875,2
40,104,0,0.06,0.72499999981875,3
40,104,0,0.07,0.72499999981875,3
40,104,0,0.08,0.7499999998125,6
40,104,0,0.09,0.7499999998125,5
40,104,0,0.1,0.77499999980625,5
40,104,1,0.0,0.8249999997937499,9
40,104,1,0.01,0.77499999980625,7
40,104,1,0.02,0.7499999998125,7
40,104,1,0.03,0.72499999981875,8
40,104,1,0.04,0.6499999998375,10
40,104,1,0.05,0.5749999998562499,8
40,104,1,0.06,0.5499999998625,0
40,104,1,0.07,0.5499999998625,1
40,104,1,0.08,0.5749999998562499,1
40,104,1,0.09,0.5499999998625,3
40,104,1,0.1,0.5499999998625,7
40,104,2,0.0,0.8249999997937499,9
40,104,2,0.01,0.77499999980625,7
40,104,2,0.02,0.7499999998125,7
40,104,2,0.03,0.72499999981875,8
40,104,2,0.04,0.6499999998375,10
40,104,2,0.05,0.5749999998562499,8
40,104,2,0.06,0.5499999998625,0
40,104,2,0.07,0.5499999998625,1
40,104,2,0.08,0.5499999998625,1
40,104,2,0.09,0.5499999998625,3
40,104,2,0.1,0.5499999998625,7
40,104,3,0.0,0.67499999983125,4
40,104,3,0.01,0.6499999998375,4
40,104,3,0.02,0.59999999985,4
40,104,3,0.03,0.5749999998562499,3
40,104,3,0.04,0.5749999998562499,3
40,104,3,0.05,0.5749999998562499,3
40,104,3,0.06,0.5749999998562499,3
40,104,3,0.07,0.5749999998562499,2
40,104,3,0.08,0.5749999998562499,2
40,104,3,0.09,0.5749999998562499,4
40,104,3,0.1,0.5749999998562499,4
80,104,0,0.0,0.7874999999015626,14
80,104,0,0.01,0.7874999999015626,19
80,104,0,0.02,0.7749999999031251,19
80,104,0,0.03,0.7749999999031251,19
80,104,0,0.04,0.7874999999015626,24
80,104,0,0.05,0.7874999999015626,21
80,104,0,0.06,0.7874999999015626,23
80,104,0,0.07,0.7874999999015626,27
80,104,0,0.08,0.7874999999015626,5
80,104,0,0.09,0.8124999998984376,4
80,104,0,0.1,0.8249999998968751,3
80,104,1,0.0,0.8374999998953125,8
80,104,1,0.01,0.8124999998984376,8
80,104,1,0.02,0.7749999999031251,8
80,104,1,0.03,0.7624999999046875,8
80,104,1,0.04,0.724999999909375,8
80,104,1,0.05,0.6874999999140625,8
80,104,1,0.06,0.64999999991875,8
80,104,1,0.07,0.574999999928125,1
80,104,1,0.08,0.54999999993125,1
80,104,1,0.09,0.54999999993125,1
80,104,1,0.1,0.54999999993125,1
80,104,2,0.0,0.8374999998953125,8
80,104,2,0.01,0.8124999998984376,8
80,104,2,0.02,0.7749999999031251,8
80,104,2,0.03,0.7624999999046875,8
80,104,2,0.04,0.724999999909375,8
80,104,2,0.05,0.6874999999140625,8
80,104,2,0.06,0.64999999991875,10
80,104,2,0.07,0.5874999999265625,1
80,104,2,0.08,0.54999999993125,1
80,104,2,0.09,0.54999999993125,1
80,104,2,0.1,0.54999999993125,1
80,104,3,0.0,0.8874999998890626,39
80,104,3,0.01,0.8624999998921876,38
80,104,3,0.02,0.8624999998921876,38
80,104,3,0.03,0.874999999890625,39
80,104,3,0.04,0.8499999998937501,39
80,104,3,0.05,0.8374999998953125,39
80,104,3,0.06,0.7999999999,39
80,104,3,0.07,0.8124999998984376,39
80,104,3,0.08,0.8124999998984376,39
80,104,3,0.09,0.7999999999,35
80,104,3,0.1,0.7999999999,36
160,104,0,0.0,0.7874999999507812,13
160,104,0,0.01,0.7874999999507812,12
160,104,0,0.02,0.7812499999511718,6
160,104,0,0.03,0.7874999999507812,22
160,104,0,0.04,0.7937499999503906,25
160,104,0,0.05,0.7874999999507812,19
160,104,0,0.06,0.7937499999503906,25
160,104,0,0.07,0.7999999999499999,5
160,104,0,0.08,0.8124999999492187,24
160,104,0,0.09,0.8249999999484374,25
160,104,0,0.1,0.8437499999472656,20
160,104,1,0.0,0.8249999999484374,21
160,104,1,0.01,0.8062499999496093,14
160,104,1,0.02,0.7749999999515624,13
160,104,1,0.03,0.7624999999523437,13
160,104,1,0.04,0.7374999999539062,13
160,104,1,0.05,0.69999999995625,10
160,104,1,0.06,0.6812499999574219,12
160,104,1,0.07,0.5874999999632812,26
160,104,1,0.08,0.549999999965625,1
160,104,1,0.09,0.5687499999644531,33
160,104,1,0.1,0.5562499999652344,17
160,104,2,0.0,0.8249999999484374,39
160,104,2,0.01,0.8062499999496093,14
160,104,2,0.02,0.7749999999515624,13
160,104,2,0.03,0.768749999951953,13
160,104,2,0.04,0.7374999999539062,13
160,104,2,0.05,0.69999999995625,9
160,104,2,0.06,0.6812499999574219,12
160,104,2,0.07,0.5999999999625,21
160,104,2,0.08,0.5437499999660156,1
160,104,2,0.09,0.5687499999644531,33
160,104,2,0.1,0.5562499999652344,17
160,104,3,0.0,0.8812499999449218,31
160,104,3,0.01,0.8812499999449218,30
160,104,3,0.02,0.8812499999449218,30
160,104,3,0.03,0.8812499999449218,29
160,104,3,0.04,0.8812499999449218,29
160,104,3,0.05,0.8812499999449218,29
160,104,3,0.06,0.8812499999449218,30
160,104,3,0.07,0.8937499999441406,30
160,104,3,0.08,0.8749999999453124,31
160,104,3,0.09,0.8687499999457031,30
160,104,3,0.1,0.8687499999457031,30
20,999,0,0.0,0.9,14
20,999,0,0.01,0.9,17
20,999,0,0.02,0.9,16
20,999,0,0.03,0.9,15
20,999,0,0.04,0.9,16
20,999,0,0.05,0.9,17
20,999,0,0.06,0.9,17
20,999,0,0.07,0.9,18
20,999,0,0.08,0.9,18
20,999,0,0.09,0.9,19
20,999,0,0.1,0.9,19
20,999,1,0.0,0.95,13
20,999,1,0.01,0.9,12
20,999,1,0.02,0.85,11
20,999,1,0.03,0.85,13
20,999,1,0.04,0.7,12
20,999,1,0.05,0.65,12
20,999,1,0.06,0.6,13
20,999,1,0.07,0.6,5
20,999,1,0.08,0.6,5
20,999,1,0.09,0.65,5
20,999,1,0.1,0.6,1
20,999,2,0.0,0.95,14
20,999,2,0.01,0.9,12
20,999,2,0.02,0.85,11
20,999,2,0.03,0.85,12
20,999,2,0.04,0.7,13
20,999,2,0.05,0.65,13
20,999,2,0.06,0.6,19
20,999,2,0.07,0.6,13
