seed,N,non_equivariance,p_err,max_val_acc,max_epoch
42,160,0,0.14,0.8249999999484374,36
42,160,0,0.15,0.8312499999480468,7
42,160,0,0.16,0.8249999999484374,5
42,160,0,0.17,0.8249999999484374,4
42,160,0,0.18,0.8499999999468749,4
42,160,0,0.19,0.8312499999480468,3
42,160,0,0.2,0.8499999999468749,3
42,160,1,0.0,0.8249999999484374,34
42,160,1,0.0,0.8249999999484374,34
42,160,1,0.01,0.7999999999499999,8
42,160,1,0.01,0.7999999999499999,8
42,160,1,0.02,0.7749999999515624,8
42,160,1,0.02,0.7749999999515624,8
42,160,1,0.03,0.7749999999515624,14
42,160,1,0.03,0.7749999999515624,14
42,160,1,0.04,0.7374999999539062,12
42,160,1,0.04,0.7374999999539062,12
42,160,1,0.05,0.718749999955078,14
42,160,1,0.05,0.718749999955078,14
42,160,1,0.06,0.6937499999566406,14
42,160,1,0.06,0.6937499999566406,14
42,160,1,0.07,0.6249999999609375,1
42,160,1,0.07,0.6249999999609375,1
42,160,1,0.08,0.6062499999621094,1
42,160,1,0.08,0.6062499999621094,1
42,160,1,0.09,0.5687499999644531,1
42,160,1,0.09,0.5687499999644531,1
42,160,1,0.1,0.5624999999648437,15
42,160,1,0.1,0.5624999999648437,15
42,160,1,0.11,0.5687499999644531,18
42,160,1,0.12,0.5562499999652344,15
42,160,1,0.13,0.5687499999644531,12
42,160,1,0.14,0.549999999965625,4
42,160,1,0.15,0.549999999965625,2
42,160,1,0.16,0.5437499999660156,3
42,160,1,0.17,0.549999999965625,6
42,160,1,0.18,0.549999999965625,4
42,160,1,0.19,0.549999999965625,4
42,160,1,0.2,0.549999999965625,6
42,160,2,0.0,0.8312499999480468,26
42,160,2,0.0,0.8312499999480468,26
42,160,2,0.01,0.8062499999496093,14
42,160,2,0.02,0.7812499999511718,8
42,160,2,0.03,0.7624999999523437,14
42,160,2,0.04,0.7499999999531249,14
42,160,2,0.05,0.7249999999546874,14
42,160,2,0.06,0.7374999999539062,39
42,160,2,0.07,0.69999999995625,34
42,160,2,0.08,0.5999999999625,2
42,160,2,0.09,0.5687499999644531,35
42,160,2,0.1,0.5624999999648437,15
42,160,2,0.11,0.5687499999644531,19
42,160,2,0.12,0.5562499999652344,13
42,160,2,0.13,0.5562499999652344,7
42,160,2,0.14,0.549999999965625,5
42,160,2,0.15,0.5437499999660156,3
42,160,2,0.16,0.549999999965625,11
42,160,2,0.17,0.5437499999660156,6
42,160,2,0.18,0.5437499999660156,4
42,160,2,0.19,0.5437499999660156,4
42,160,2,0.2,0.5437499999660156,6
42,160,3,0.0,0.7812499999511718,39
42,160,3,0.01,0.7874999999507812,39
42,160,3,0.02,0.7999999999499999,39
42,160,3,0.03,0.7999999999499999,39
42,160,3,0.04,0.7999999999499999,39
42,160,3,0.05,0.8062499999496093,39
42,160,3,0.06,0.8124999999492187,39
42,160,3,0.07,0.8187499999488281,39
42,160,3,0.08,0.8187499999488281,37
42,160,3,0.09,0.8187499999488281,37
42,160,3,0.1,0.8187499999488281,38
42,160,3,0.11,0.8624999999460937,35
42,160,3,0.12,0.8687499999457031,35
42,160,3,0.13,0.8624999999460937,35
42,160,3,0.14,0.8562499999464843,35
42,160,3,0.15,0.8562499999464843,35
42,160,3,0.16,0.8562499999464843,35
42,160,3,0.17,0.8687499999457031,36
42,160,3,0.18,0.8687499999457031,36
42,160,3,0.19,0.8624999999460937,37
42,160,3,0.2,0.8624999999460937,37
42,160,4,0.01,0.8749999999453124,30
42,160,4,0.02,0.8749999999453124,30
42,160,4,0.03,0.8749999999453124,30
42,160,4,0.04,0.8749999999453124,30
42,160,4,0.05,0.8687499999457031,30
42,160,4,0.06,0.8624999999460937,30
42,160,4,0.07,0.8562499999464843,14
42,160,4,0.08,0.8562499999464843,13
42,160,4,0.09,0.8499999999468749,17
42,160,4,0.1,0.8499999999468749,30
42,320,0,0.01,0.7874999999753906,8
42,320,0,0.02,0.7874999999753906,9
42,320,0,0.03,0.7906249999752929,8
42,320,0,0.04,0.7937499999751952,6
42,320,0,0.05,0.7999999999749999,6
42,320,0,0.06,0.8062499999748046,6
42,320,0,0.07,0.7999999999749999,5
42,320,0,0.08,0.8031249999749023,4
42,320,0,0.09,0.8218749999743163,20
42,320,0,0.1,0.8406249999737304,24
42,320,0,0.11,0.8656249999729492,29
42,320,0,0.12,0.8781249999725586,24
42,320,0,0.13,0.8874999999722656,24
42,320,0,0.14,0.8937499999720703,33
42,320,0,0.15,0.8593749999731445,7
42,320,0,0.16,0.8531249999733398,5
42,320,0,0.17,0.8499999999734374,4
42,320,0,0.18,0.8499999999734374,3
42,320,0,0.19,0.8624999999730468,3
42,320,0,0.2,0.8718749999727539,3
42,320,1,0.01,0.818749999974414,23
42,320,1,0.02,0.8031249999749023,10
42,320,1,0.03,0.7749999999757813,9
42,320,1,0.04,0.7624999999761719,10
42,320,1,0.05,0.7406249999768555,9
42,320,1,0.06,0.7187499999775391,13
42,320,1,0.07,0.7156249999776367,9
42,320,1,0.08,0.6531249999795898,13
42,320,1,0.09,0.6406249999799805,2
42,320,1,0.1,0.6156249999807617,1
42,320,1,0.11,0.618749999980664,1
42,320,1,0.12,0.5781249999819336,1
42,320,1,0.13,0.5468749999829101,1
42,320,1,0.14,0.5374999999832031,6
42,320,1,0.15,0.5343749999833007,6
42,320,1,0.16,0.5437499999830078,1
42,320,1,0.17,0.5499999999828125,1
42,320,1,0.18,0.5562499999826171,3
42,320,1,0.19,0.5593749999825195,3
42,320,1,0.2,0.5593749999825195,1
42,320,2,0.01,0.818749999974414,23
42,320,2,0.02,0.8031249999749023,35
42,320,2,0.03,0.781249999975586,23
42,320,2,0.04,0.7624999999761719,8
42,320,2,0.05,0.7437499999767578,35
42,320,2,0.06,0.7562499999763672,33
42,320,2,0.07,0.7249999999773438,35
42,320,2,0.08,0.6968749999782227,35
42,320,2,0.09,0.6687499999791016,33
42,320,2,0.1,0.59999999998125,3
42,320,2,0.11,0.5687499999822265,1
42,320,2,0.12,0.5531249999827148,1
42,320,2,0.13,0.5437499999830078,1
42,320,2,0.14,0.528124999983496,3
42,320,2,0.15,0.5437499999830078,1
42,320,2,0.16,0.5562499999826171,1
42,320,2,0.17,0.5499999999828125,1
42,320,2,0.18,0.5499999999828125,3
42,320,2,0.19,0.5593749999825195,3
42,320,2,0.2,0.5624999999824218,3
42,320,3,0.01,0.8718749999727539,35
42,320,3,0.02,0.8718749999727539,33
42,320,3,0.03,0.8687499999728515,32
42,320,3,0.04,0.8687499999728515,30
42,320,3,0.05,0.8718749999727539,24
42,320,3,0.06,0.8656249999729492,23
42,320,3,0.07,0.8656249999729492,22
42,320,3,0.08,0.8624999999730468,21
42,320,3,0.09,0.8656249999729492,21
42,320,3,0.1,0.8624999999730468,21
42,320,3,0.11,0.8624999999730468,24
42,320,3,0.12,0.8624999999730468,21
42,320,3,0.13,0.8624999999730468,24
42,320,3,0.14,0.8624999999730468,24
42,320,3,0.15,0.8624999999730468,24
42,320,3,0.16,0.8624999999730468,24
42,320,3,0.17,0.8656249999729492,24
42,320,3,0.18,0.8656249999729492,24
42,320,3,0.19,0.8656249999729492,24
42,320,3,0.2,0.8624999999730468,24
101,20,0,0.0,1.0,7
101,20,0,0.01,1.0,18
101,20,0,0.02,0.95,4
101,20,0,0.03,0.95,4
101,20,0,0.04,0.95,4
101,20,0,0.05,0.95,5
101,20,0,0.06,0.95,5
101,20,0,0.07,0.9,1
101,20,0,0.08,0.9,1
101,20,0,0.09,0.9,2
101,20,0,0.1,0.9,2
101,20,0,0.11,0.949999999525,6
101,20,0,0.11,0.95,7
101,20,0,0.12,0.89999999955,2
101,20,0,0.12,0.9,3
101,20,0,0.13,0.89999999955,12
101,20,0,0.13,0.9,13
101,20,0,0.14,0.89999999955,10
101,20,0,0.14,0.9,11
101,20,0,0.15,0.8499999995749999,2
101,20,0,0.15,0.85,3
101,20,0,0.16,0.8499999995749999,2
101,20,0,0.16,0.85,3
101,20,0,0.17,0.8499999995749999,2
101,20,0,0.17,0.85,3
101,20,0,0.18,0.8499999995749999,2
101,20,0,0.18,0.85,3
101,20,0,0.19,0.8499999995749999,2
101,20,0,0.19,0.85,3
101,20,0,0.2,0.8499999995749999,2
101,20,0,0.2,0.85,3
101,20,1,0.0,1.0,3
101,20,1,0.01,0.9,3
101,20,1,0.02,0.85,2
101,20,1,0.03,0.85,5
101,20,1,0.04,0.8,3
101,20,1,0.05,0.75,5
101,20,1,0.06,0.75,7
101,20,1,0.07,0.75,9
101,20,1,0.08,0.8,17
101,20,1,0.09,0.5,5
101,20,1,0.1,0.5,8
101,20,1,0.11,0.49999999975,7
101,20,1,0.11,0.5,8
101,20,1,0.12,0.5999999997,19
101,20,1,0.12,0.6,20
101,20,1,0.13,0.549999999725,28
101,20,1,0.13,0.55,29
101,20,1,0.14,0.549999999725,18
101,20,1,0.14,0.55,19
101,20,1,0.15,0.449999999775,10
101,20,1,0.15,0.45,11
101,20,1,0.16,0.3999999998,10
101,20,1,0.16,0.4,11
101,20,1,0.17,0.3999999998,10
101,20,1,0.17,0.4,11
101,20,1,0.18,0.549999999725,21
101,20,1,0.18,0.55,22
101,20,1,0.19,0.49999999975,17
101,20,1,0.19,0.5,18
101,20,1,0.2,0.49999999975,16
101,20,1,0.2,0.5,17
101,20,2,0.0,1.0,3
101,20,2,0.01,0.9,3
101,20,2,0.02,0.85,2
101,20,2,0.03,0.85,4
101,20,2,0.04,0.8,3
101,20,2,0.05,0.75,5
101,20,2,0.06,0.75,5
101,20,2,0.07,0.75,9
101,20,2,0.08,0.45,24
101,20,2,0.09,0.45,9
101,20,2,0.1,0.45,37
101,20,2,0.11,0.449999999775,35
101,20,2,0.11,0.45,36
101,20,2,0.12,0.5999999997,13
101,20,2,0.12,0.6,14
101,20,2,0.13,0.549999999725,16
101,20,2,0.13,0.55,17
101,20,2,0.14,0.549999999725,23
101,20,2,0.14,0.55,24
101,20,2,0.15,0.3999999998,10
101,20,2,0.15,0.4,11
101,20,2,0.16,0.549999999725,36
101,20,2,0.16,0.55,37
101,20,2,0.17,0.49999999975,35
101,20,2,0.17,0.5,36
101,20,2,0.18,0.549999999725,21
101,20,2,0.18,0.55,22
101,20,2,0.19,0.549999999725,24
101,20,2,0.19,0.55,25
101,20,2,0.2,0.549999999725,17
101,20,2,0.2,0.55,18
101,20,3,0.0,0.65,29
101,20,3,0.01,0.65,29
101,20,3,0.02,0.65,29
101,20,3,0.03,0.65,26
101,20,3,0.04,0.65,29
101,20,3,0.05,0.7,32
101,20,3,0.06,0.7,37
101,20,3,0.07,0.65,32
101,20,3,0.08,0.65,37
101,20,3,0.09,0.6,29
101,20,3,0.1,0.6,29
101,20,3,0.11,0.649999999675,29
101,20,3,0.11,0.65,30
101,20,3,0.12,0.6999999996499999,28
101,20,3,0.12,0.7,29
101,20,3,0.13,0.6999999996499999,32
101,20,3,0.13,0.7,33
101,20,3,0.14,0.5999999997,20
101,20,3,0.14,0.6,21
101,20,3,0.15,0.5999999997,17
101,20,3,0.15,0.6,18
101,20,3,0.16,0.5999999997,15
101,20,3,0.16,0.6,16
101,20,3,0.17,0.5999999997,18
101,20,3,0.17,0.6,19
101,20,3,0.18,0.5999999997,14
101,20,3,0.18,0.6,15
101,20,3,0.19,0.5999999997,13
101,20,3,0.19,0.6,14
101,20,3,0.2,0.5999999997,13
101,20,3,0.2,0.6,14
101,20,4,0.0,0.89999999955,29
101,20,4,0.01,0.89999999955,29
101,20,4,0.02,0.89999999955,29
101,20,4,0.03,0.89999999955,18
101,20,4,0.04,0.89999999955,34
101,20,4,0.05,0.89999999955,34
101,20,4,0.06,0.89999999955,35
101,20,4,0.07,0.89999999955,36
101,20,4,0.08,0.89999999955,38
101,20,4,0.09,0.89999999955,39
101,20,4,0.1,0.8499999995749999,39
101,40,0,0.11,0.899999999775,5
101,40,0,0.12,0.87499999978125,2
101,40,0,0.13,0.899999999775,6
101,40,0,0.14,0.87499999978125,2
